StartDate,Consumption
23-12-2018,64.3
24-12-2018,179.5
25-12-2018,84.05
26-12-2018,208.55
27-12-2018,229.8
28-12-2018,207.5
29-12-2018,94.2
30-12-2018,61.35
31-12-2018,134.55
01-01-2019,66
02-01-2019,265.65
03-01-2019,303.2
04-01-2019,237.45
05-01-2019,77
06-01-2019,63.95
07-01-2019,261.3
08-01-2019,281.45
09-01-2019,257.1
10-01-2019,279.25
11-01-2019,240.05
12-01-2019,78.5
13-01-2019,53.45
14-01-2019,264.9
15-01-2019,256.45
16-01-2019,248.2
17-01-2019,286
18-01-2019,196.65
19-01-2019,84.25
20-01-2019,71.85
21-01-2019,231.45
22-01-2019,262.15
23-01-2019,230.55
24-01-2019,230.45
25-01-2019,198.55
26-01-2019,69.7
27-01-2019,65.2
28-01-2019,245.5
29-01-2019,252.4
30-01-2019,277
31-01-2019,271.3
01-02-2019,239.85
02-02-2019,78.3
03-02-2019,73.55
04-02-2019,276.3
05-02-2019,233.65
06-02-2019,266.45
07-02-2019,241.2
11-02-2017,98.05
10-02-2017,287.35
12-02-2017,63.65
08-02-2017,310.75
09-02-2017,351.05
07-02-2017,309.7
13-02-2017,343.4
14-02-2017,301.7
15-02-2017,299.55
16-02-2017,269.6
17-02-2017,255.75
18-02-2017,132.65
19-02-2017,56.8
20-02-2017,299.9
21-02-2017,308.85
22-02-2017,295.95
23-02-2017,302.65
24-02-2017,310.15
25-02-2017,111
26-02-2017,46.8
27-02-2017,335.05
28-02-2017,334.1
01-03-2017,347.55
02-03-2017,305.6
03-03-2017,253.1
04-03-2017,104.75
05-03-2017,49.5
06-03-2017,287.55
07-03-2017,296.55
08-03-2017,326
09-03-2017,343.25
10-03-2017,352.15
11-03-2017,197.3
12-03-2017,101.95
13-03-2017,330.75
14-03-2017,328.65
15-03-2017,323.35
16-03-2017,301.9
17-03-2017,275.9
18-03-2017,182.25
19-03-2017,51.7
20-03-2017,322.7
21-03-2017,315.3
22-03-2017,332.85
23-03-2017,324.25
24-03-2017,291.5
25-03-2017,119.6
26-03-2017,50.1
26-03-2017,332
27-03-2017,328.4
28-03-2017,338.35
29-03-2017,314.45
30-03-2017,237.2
31-03-2017,186.75
01-04-2017,53.75
02-04-2017,355
03-04-2017,319.75
04-04-2017,344.1
05-04-2017,340.7
06-04-2017,296.15
07-04-2017,165.5
08-04-2017,44
09-04-2017,290.65
10-04-2017,303.65
11-04-2017,299.5
12-04-2017,286.95
13-04-2017,289.85
14-04-2017,88.2
15-04-2017,46.45
16-04-2017,46.05
17-04-2017,300.85
18-04-2017,304.3
19-04-2017,308.65
20-04-2017,301.2
21-04-2017,137.2
22-04-2017,48.9
23-04-2017,309.15
24-04-2017,305.75
25-04-2017,313.65
26-04-2017,310.3
27-04-2017,252.35
28-04-2017,108.65
29-04-2017,120.15
30-04-2017,154.1
01-05-2017,299.2
02-05-2017,325.6
03-05-2017,326.5
04-05-2017,288.1
05-05-2017,160.5
06-05-2017,51.85
07-05-2017,321.5
08-05-2017,321.85
09-05-2017,316.05
10-05-2017,311.7
11-05-2017,267.8
12-05-2017,161.25
13-05-2017,115.25
14-05-2017,335.45
15-05-2017,277.95
16-05-2017,288
17-05-2017,277.25
18-05-2017,251.1
19-05-2017,142.4
20-05-2017,42.1
21-05-2017,298.85
22-05-2017,302.05
23-05-2017,308.55
24-05-2017,34.2
25-05-2017,165.7
26-05-2017,70.75
27-05-2017,39.25
28-05-2017,263.4
29-05-2017,304.2
30-05-2017,277.9
31-05-2017,259.5
01-06-2017,259.35
02-06-2017,142.35
03-06-2017,46.65
04-06-2017,81.45
05-06-2017,278.9
06-06-2017,302
07-06-2017,284.8
08-06-2017,279.4
09-06-2017,180.55
10-06-2017,48.65
11-06-2017,265.3
12-06-2017,267.7
13-06-2017,257.4
14-06-2017,245.45
15-06-2017,248.5
16-06-2017,112
17-06-2017,44.85
18-06-2017,241.55
19-06-2017,259.95
20-06-2017,276.7
21-06-2017,244.15
22-06-2017,232.35
23-06-2017,112.65
24-06-2017,34.25
25-06-2017,288.6
26-06-2017,277.65
27-06-2017,309.15
28-06-2017,287.35
29-06-2017,301.55
30-06-2017,80.1
01-07-2017,52.65
02-07-2017,284.85
03-07-2017,271.75
04-07-2017,267
05-07-2017,244.85
06-07-2017,276.45
07-07-2017,93.45
08-07-2017,46.45
09-07-2017,314.3
10-07-2017,294.8
11-07-2017,278.7
12-07-2017,273.7
13-07-2017,233.1
14-07-2017,128.35
15-07-2017,41.6
16-07-2017,309.05
17-07-2017,281.2
18-07-2017,264.7
19-07-2017,295.3
20-07-2017,56
21-07-2017,172.75
22-07-2017,46.4
23-07-2017,280.45
24-07-2017,285.6
25-07-2017,291.35
26-07-2017,273.55
27-07-2017,222.3
28-07-2017,67.75
29-07-2017,42.9
30-07-2017,293.9
31-07-2017,262.95
01-08-2017,294.9
02-08-2017,294.6
03-08-2017,230.35
04-08-2017,113.75
05-08-2017,75.55
06-08-2017,283.55
07-08-2017,235.15
08-08-2017,271.55
09-08-2017,268.2
10-08-2017,207.15
11-08-2017,93.35
12-08-2017,45.2
13-08-2017,267.5
14-08-2017,47.55
15-08-2017,276.5
16-08-2017,273.65
17-08-2017,271.4
18-08-2017,73.85
19-08-2017,44.85
20-08-2017,290.6
21-08-2017,320.2
22-08-2017,302.95
23-08-2017,302.1
24-08-2017,238.9
25-08-2017,83.15
26-08-2017,46.25
27-08-2017,274.95
28-08-2017,258.1
29-08-2017,279.8
30-08-2017,278.55
31-08-2017,254.1
01-09-2017,61.85
02-09-2017,39.3
03-09-2017,269.65
04-09-2017,278.2
05-09-2017,307.9
06-09-2017,287.5
07-09-2017,296.55
08-09-2017,59.65
09-09-2017,34.35
10-09-2017,282.3
11-09-2017,272.8
12-09-2017,275.15
13-09-2017,270.95
14-09-2017,245.1
15-09-2017,85.55
16-09-2017,64.9
17-09-2017,272.35
18-09-2017,237.95
19-09-2017,284.55
20-09-2017,248.55
21-09-2017,259.95
22-09-2017,90.75
23-09-2017,53.8
24-09-2017,278.15
25-09-2017,290.35
26-09-2017,299.05
27-09-2017,258.5
28-09-2017,243.95
29-09-2017,71.35
30-09-2017,45.45
01-10-2017,270.75
02-10-2017,274.2
03-10-2017,295.2
04-10-2017,273.65
05-10-2017,250.15
06-10-2017,76.8
07-10-2017,47.45
08-10-2017,277.7
09-10-2017,264.55
10-10-2017,283.25
11-10-2017,255.85
12-10-2017,214.95
13-10-2017,115.35
14-10-2017,50.55
15-10-2017,261.25
16-10-2017,249.85
17-10-2017,292.15
18-10-2017,253.2
19-10-2017,234.75
20-10-2017,74.1
21-10-2017,47.6
22-10-2017,281.3
23-10-2017,288.25
24-10-2017,284.55
25-10-2017,267.95
26-10-2017,228
27-10-2017,79.9
28-10-2017,52.5
30-10-2017,292.1
31-10-2017,271.15
01-11-2017,57.25
02-11-2017,221.2
03-11-2017,234.8
04-11-2017,102.1
05-11-2017,53.05
06-11-2017,247.95
07-11-2017,242.7
08-11-2017,235.65
09-11-2017,243.35
10-11-2017,206.95
11-11-2017,63.1
12-11-2017,53.9
13-11-2017,207
14-11-2017,231.85
15-11-2017,250.8
16-11-2017,205.5
17-11-2017,211.15
18-11-2017,101.15
19-11-2017,67.35
20-11-2017,238.55
21-11-2017,250.7
22-11-2017,255
23-11-2017,207.35
24-11-2017,203.45
25-11-2017,88.3
26-11-2017,78.5
27-11-2017,258
28-11-2017,244.45
29-11-2017,237.7
30-11-2017,227.9
01-12-2017,236.2
02-12-2017,115.4
03-12-2017,80
04-12-2017,242.75
05-12-2017,261.85
06-12-2017,219.35
07-12-2017,252.25
08-12-2017,256.6
09-12-2017,184.8
10-12-2017,115.45
11-12-2017,247.45
12-12-2017,295.35
13-12-2017,247.25
14-12-2017,215.2
15-12-2017,202.15
16-12-2017,99.45
17-12-2017,88.45
18-12-2017,229.5
19-12-2017,223.35
20-12-2017,223.15
21-12-2017,191.3
22-12-2017,149.7
23-12-2017,91.7
24-12-2017,73.2
25-12-2017,56.6
26-12-2017,221.25
27-12-2017,194.15
28-12-2017,199.9
29-12-2017,171.05
30-12-2017,88.65
31-12-2017,54.45
01-01-2018,57.95
02-01-2018,240
03-01-2018,250.1
04-01-2018,261.45
05-01-2018,236.35
06-01-2018,105.05
07-01-2018,78.25
08-01-2018,285.2
09-01-2018,277.45
10-01-2018,208.75
11-01-2018,194.5
12-01-2018,155.3
13-01-2018,101.7
14-01-2018,75.6
15-01-2018,193.95
16-01-2018,197.65
17-01-2018,248.6
18-01-2018,206.7
19-01-2018,179.25
20-01-2018,67.95
21-01-2018,73.65
